 #      PC            ROC          NC         R(KM)       M/MSOL       A(E58)     MPROP/MSOL     I(E45)      y(R)       k2 (Love)       Lambda
  0.171791E+36 0.117473E+16 0.617462      12.4598      1.57984     0.210274      1.86329      1.78030     0.628526     0.694326E-01  201.047    
  0.173780E+36 0.117685E+16 0.618423      12.4444      1.58232     0.210649      1.86748      1.77918     0.635381     0.688435E-01  196.567    
  0.175792E+36 0.117897E+16 0.619385      12.4291      1.58486     0.211036      1.87177      1.77820     0.642239     0.682547E-01  192.133    
  0.177828E+36 0.118123E+16 0.620405      12.4137      1.58748     0.211433      1.87617      1.77735     0.649097     0.676665E-01  187.748    
  0.179887E+36 0.118364E+16 0.621479      12.3983      1.59016     0.211840      1.88066      1.77664     0.655953     0.670793E-01  183.417    
  0.181970E+36 0.118605E+16 0.622554      12.3830      1.59291     0.212258      1.88526      1.77605     0.662805     0.664932E-01  179.141    
  0.184077E+36 0.118847E+16 0.623632      12.3677      1.59572     0.212686      1.88995      1.77559     0.669653     0.659084E-01  174.922    
  0.186209E+36 0.119089E+16 0.624711      12.3525      1.59859     0.213125      1.89474      1.77527     0.676497     0.653251E-01  170.762    
  0.188365E+36 0.119331E+16 0.625793      12.3372      1.60153     0.213573      1.89963      1.77507     0.683335     0.647432E-01  166.661    
  0.190546E+36 0.119575E+16 0.626876      12.3220      1.60454     0.214032      1.90461      1.77500     0.690168     0.641629E-01  162.622    
  0.192752E+36 0.119818E+16 0.627961      12.3068      1.60760     0.214500      1.90969      1.77507     0.696994     0.635843E-01  158.644    
  0.194984E+36 0.120062E+16 0.629048      12.2917      1.61073     0.214979      1.91487      1.77526     0.703814     0.630076E-01  154.730    
  0.197242E+36 0.120307E+16 0.630137      12.2766      1.61392     0.215467      1.92015      1.77558     0.710627     0.624328E-01  150.880    
  0.199526E+36 0.120552E+16 0.631227      12.2616      1.61717     0.215966      1.92552      1.77603     0.717431     0.618600E-01  147.094    
  0.201837E+36 0.120798E+16 0.632320      12.2466      1.62049     0.216474      1.93098      1.77661     0.724228     0.612893E-01  143.374    
  0.204174E+36 0.121052E+16 0.633443      12.2317      1.62386     0.216992      1.93654      1.77732     0.731016     0.607208E-01  139.720    
  0.206538E+36 0.121327E+16 0.634646      12.2168      1.62729     0.217519      1.94218      1.77816     0.737791     0.601549E-01  136.134    
  0.208930E+36 0.121603E+16 0.635850      12.2019      1.63077     0.218056      1.94792      1.77912     0.744554     0.595918E-01  132.616    
  0.211349E+36 0.121879E+16 0.637058      12.1872      1.63431     0.218601      1.95374      1.78020     0.751305     0.590313E-01  129.168    
  0.213796E+36 0.122156E+16 0.638267      12.1724      1.63791     0.219156      1.95965      1.78141     0.758042     0.584737E-01  125.788    
  0.216272E+36 0.122434E+16 0.639479      12.1578      1.64155     0.219719      1.96565      1.78274     0.764767     0.579190E-01  122.477    
  0.218776E+36 0.122712E+16 0.640693      12.1432      1.64525     0.220291      1.97173      1.78419     0.771479     0.573673E-01  119.234    
  0.221309E+36 0.122991E+16 0.641909      12.1287      1.64901     0.220872      1.97789      1.78577     0.778177     0.568185E-01  116.059    
  0.223872E+36 0.123271E+16 0.643128      12.1142      1.65281     0.221462      1.98414      1.78746     0.784863     0.562729E-01  112.953    
